2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Log saved in- logs/protocol_1_ViT-B-16_2024-11-19 22:37:20
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Training cfgs- Namespace(aug_mix=0.6, backbone='ViT-B-16', batch_size=128, beta=0.1, checkpoint_period=60, classes=[1502, 11934, 1816, 1467], color_jitter=0.1, combine_all=True, data_path='/data/ReidShareDataset', device_id='1', epsilon=0.1, eval_period=10, gray_scale=0.1, image_encoder_epoch=60, image_encoder_lr=5e-06, lamda=0.01, log_path='logs', log_period=100, model='clip', num_instance=4, num_workers=8, omega=0.01, optimizer='Adam', pad=10, prior_epoch=3, prompt_domain_epoch=30, prompt_epoch=120, prompt_lr=0.00035, random_erasing=0.0, random_horizontal_flip=0.4, sampling_method='PK', size_train=[224, 224], train_datasets=['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03'], weight_decay=0.0001)
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Running protocol- ['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03']->['PRID', 'GRID', 'VIPeR', 'iLIDS']
2024-11-19 22:37:22,246 clip_ViT-B-16_train INFO: start stage-prior training
2024-11-19 23:08:59,533 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[300/689] Domain_Acc: 0.920 Loss: 0.413, Base Lr: 9.71e-03
2024-11-19 23:09:06,831 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[400/689] Domain_Acc: 0.920 Loss: 0.412, Base Lr: 9.71e-03
2024-11-19 23:09:14,127 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[500/689] Domain_Acc: 0.920 Loss: 0.408, Base Lr: 9.71e-03
2024-11-19 23:09:21,409 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[600/689] Domain_Acc: 0.920 Loss: 0.407, Base Lr: 9.71e-03
2024-11-19 23:09:35,154 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[100/689] Domain_Acc: 0.917 Loss: 0.373, Base Lr: 9.67e-03
2024-11-19 23:09:42,437 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[200/689] Domain_Acc: 0.919 Loss: 0.368, Base Lr: 9.67e-03
2024-11-19 23:09:49,743 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[300/689] Domain_Acc: 0.919 Loss: 0.371, Base Lr: 9.67e-03
2024-11-19 23:09:57,050 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[400/689] Domain_Acc: 0.919 Loss: 0.374, Base Lr: 9.67e-03
2024-11-19 23:10:04,330 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[500/689] Domain_Acc: 0.920 Loss: 0.370, Base Lr: 9.67e-03
2024-11-19 23:10:11,637 clip_ViT-B-16_train INFO: STAGE1-Epoch[14] Iteration[600/689] Domain_Acc: 0.920 Loss: 0.367, Base Lr: 9.67e-03
2024-11-19 23:10:25,346 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[100/689] Domain_Acc: 0.915 Loss: 0.328, Base Lr: 9.62e-03
2024-11-19 23:10:32,650 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[200/689] Domain_Acc: 0.916 Loss: 0.342, Base Lr: 9.62e-03
2024-11-19 23:10:39,952 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[300/689] Domain_Acc: 0.917 Loss: 0.348, Base Lr: 9.62e-03
2024-11-19 23:10:47,227 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[400/689] Domain_Acc: 0.917 Loss: 0.347, Base Lr: 9.62e-03
2024-11-19 23:10:54,531 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[500/689] Domain_Acc: 0.918 Loss: 0.348, Base Lr: 9.62e-03
2024-11-19 23:11:01,833 clip_ViT-B-16_train INFO: STAGE1-Epoch[15] Iteration[600/689] Domain_Acc: 0.918 Loss: 0.348, Base Lr: 9.62e-03
2024-11-19 23:11:15,542 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[100/689] Domain_Acc: 0.913 Loss: 0.345, Base Lr: 9.57e-03
2024-11-19 23:11:22,846 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[200/689] Domain_Acc: 0.916 Loss: 0.330, Base Lr: 9.57e-03
2024-11-19 23:11:30,122 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[300/689] Domain_Acc: 0.917 Loss: 0.336, Base Lr: 9.57e-03
2024-11-19 23:11:37,437 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[400/689] Domain_Acc: 0.917 Loss: 0.331, Base Lr: 9.57e-03
2024-11-19 23:11:44,742 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[500/689] Domain_Acc: 0.918 Loss: 0.329, Base Lr: 9.57e-03
2024-11-19 23:11:52,030 clip_ViT-B-16_train INFO: STAGE1-Epoch[16] Iteration[600/689] Domain_Acc: 0.918 Loss: 0.332, Base Lr: 9.57e-03
2024-11-19 23:12:05,786 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[100/689] Domain_Acc: 0.918 Loss: 0.304, Base Lr: 9.51e-03
2024-11-19 23:12:13,114 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[200/689] Domain_Acc: 0.919 Loss: 0.305, Base Lr: 9.51e-03
2024-11-19 23:12:20,199 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[300/689] Domain_Acc: 0.918 Loss: 0.314, Base Lr: 9.51e-03
2024-11-19 23:12:27,239 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[400/689] Domain_Acc: 0.918 Loss: 0.314, Base Lr: 9.51e-03
2024-11-19 23:12:34,229 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[500/689] Domain_Acc: 0.919 Loss: 0.313, Base Lr: 9.51e-03
2024-11-19 23:12:41,238 clip_ViT-B-16_train INFO: STAGE1-Epoch[17] Iteration[600/689] Domain_Acc: 0.920 Loss: 0.315, Base Lr: 9.51e-03
2024-11-19 23:12:54,368 clip_ViT-B-16_train INFO: STAGE1-Epoch[18] Iteration[100/689] Domain_Acc: 0.916 Loss: 0.297, Base Lr: 9.46e-03
2024-11-19 23:13:01,368 clip_ViT-B-16_train INFO: STAGE1-Epoch[18] Iteration[200/689] Domain_Acc: 0.919 Loss: 0.296, Base Lr: 9.46e-03
2024-11-19 23:13:08,351 clip_ViT-B-16_train INFO: STAGE1-Epoch[18] Iteration[300/689] Domain_Acc: 0.918 Loss: 0.303, Base Lr: 9.46e-03
